DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
KURUKSHETRA,2001,32.5,3.5,21,34.5,43,102.5,126,68,4.5,4,0,0,439.5,36,98.5,301,4
KURUKSHETRA,2002,0,36,14.5,0,21.5,18,44.5,96,146,0,0,5,381.5,36,36,304.5,5
KURUKSHETRA,2003,17.5,26,5,0,11,51.5,181,66.4,63.5,0,0,11.5,433.4,43.5,16,362.4,11.5
KURUKSHETRA,2004,55,0,0,17,85.5,62.5,12,240,49,26.5,0,3.5,551,55,102.5,363.5,30
KURUKSHETRA,2005,21,27,39,0,4.5,64.5,44,92,0,0,0,0,292,48,43.5,200.5,0
KURUKSHETRA,2006,6,0,27.5,0,24.5,51.5,96.5,15,24,1.5,0,,,6,52,187,
KURUKSHETRA,2007,1,102.5,38,0,10,62,62,32.5,14.5,1.5,0,0,324,103.5,48,171,1.5
KURUKSHETRA,2008,4,0,0,7,0,,38,99,138,,,0,,4,7,,
KURUKSHETRA,2009,4,5.5,2,15.5,,26.5,62,38.5,119.5,20.5,0,,,9.5,,246.5,
KURUKSHETRA,2010,4.5,9.5,0,0,16.5,41,255,87,142,0,0,21,576.5,14,16.5,525,21
